station ID,year,JanTotal,FebTotal,MarTotal,AprTotal,MayTotal,JunTotal,JulTotal,AugTotal,SepTotal,OctTotal,NovTotal,DecTotal,AnnTotal
62658,1890,2.53,3.4,5.86,2.06,4.73,3.24,6.43,6.06,6,5.4,1,4.45,51.16
62658,1891,7.44,3.71,2.17,3.75,1.73,3.62,1.26,3.37,0.94,1.6,3.11,4.88,37.58
62658,1892,5.71,1.36,2.76,0.7,6.43,5.74,6.09,6.13,3.45,1.22,3.76,1.24,44.59
62658,1893,2.71,6.23,3.05,2.65,5.02,2.49,3.33,5.5,3.89,3.99,1.84,4.16,44.85
62658,1894,2.03,2.17,1.63,2.55,5.57,0.86,1.35,0.57,4.06,4.44,4.15,4.58,33.96
62658,1895,3.08,1.36,2.44,4.15,2.49,2.77,3,2.77,2.24,5.38,3.8,4.67,38.15
62658,1896,1.11,6.38,5.59,1.71,3.39,2.53,6.67,4.25,6.25,3.1,2.8,2.33,46.11
62658,1897,3.25,2.4,2.44,3,3.73,5.22,10.57,4.77,3.81,0.78,5.94,4.63,50.54
62658,1898,4.58,3.06,2.44,4.35,6.35,2.99,2.23,8.22,3.73,3.74,6.3,2.42,50.41
62658,1899,3.2,4.69,5.25,1.23,2.68,3.99,7.09,0.88,4.82,1.63,1.47,2.35,39.28
62658,1900,2.72,6,4.5,1.69,5.58,4.45,5.02,1.87,1.85,2.41,5.55,2.71,44.35
62658,1901,1.48,0.84,6.09,6.45,6.07,1.84,4.39,9.04,4.21,3.97,2.42,8.16,54.96
62658,1902,2.12,4.38,4.59,3.79,2.65,4.83,7.42,3.24,8.44,4.96,1.01,6.48,53.92
62658,1903,3,4.39,4.48,2.85,0.97,10.01,2.64,5.93,2.02,6.04,2.42,3.96,48.71
62658,1904,2.92,2.29,3.1,2.14,4.49,8.78,6.04,2.98,7.44,2.98,1.49,2.58,47.23
62658,1905,4.82,0.82,3.72,2.5,1.45,3.31,4.79,3.79,6.51,3.11,2.54,3.02,40.38
62658,1906,2.05,2.71,3.97,4.27,5.13,3.74,5.17,2.85,3.18,3.25,1.69,2.92,40.93
62658,1907,2.44,1.76,1.26,2.18,4.04,4.19,3.21,2.27,12.43,7.81,4.8,4.55,50.94
62658,1908,3.03,3.74,2.67,2.81,3.25,3.03,6.65,4.59,1.29,1.52,0.88,2.49,35.95
62658,1909,4.86,6.15,3.67,5.27,4.92,2.47,2,3.52,3.94,1.14,2.48,3.44,43.86
62658,1910,6.18,4.82,1.06,4.17,3.21,3.22,2.21,5,4.34,1.12,5.05,1.98,42.35
62658,1911,2.29,1.8,2.98,2.35,3.13,2.33,5.12,6.11,3.48,5.72,3.93,2.52,41.76
62658,1912,2,2.05,5.05,4.99,5.74,0.7,2.9,4.27,3.08,4.51,3.69,4.86,43.84
62658,1913,4.02,2.28,6.05,4.02,4.13,1.81,1.45,4.59,3.74,8.88,3.23,2.54,46.74
62658,1914,2.51,2.35,4.23,3.69,3.3,2.87,3.1,2.48,0.55,2.23,2.37,2.58,32.26
62658,1915,5.77,5.54,0.12,2.56,2.9,4.65,7.97,7.41,3.74,1.96,2.07,8.89,53.58
62658,1916,1.48,3.11,2.68,2.63,2.9,3.89,5.75,3.12,3.94,0.67,2.63,1.67,34.48
62658,1917,2.43,2.52,2.73,2.14,3.15,4.36,1.87,2.65,0.78,5.37,0.41,2.96,31.37
62658,1918,3.35,2.02,2.74,3.58,4.66,2.83,3.01,2.29,6.88,1.99,2.48,3.47,39.31
62658,1919,2.44,2.5,4.92,2.57,4.78,3.39,6.19,2.83,5.09,1.91,6.52,2.23,45.38
62658,1920,2.06,7.09,6.51,4.94,2.32,6.2,3.76,7.76,7.3,1.41,3.11,4.17,56.63
62658,1921,1.96,2.44,2.75,4.68,2.56,5.77,3.11,4.15,3.86,1.64,5.93,1.66,40.51
62658,1922,1.66,1.95,4.67,2.3,6.97,5.81,2.3,5.81,2.14,2.3,1.03,3.09,40.04
62658,1923,5.06,1.48,1.82,3.18,2.5,2.73,3.19,3.14,4.61,5.52,2.74,2.85,38.8
62658,1924,2.09,1.72,0.96,5.29,4.14,2.16,2.47,4.37,8.89,0.87,3.13,1.3,37.39
