world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
100,Arizona State University - Tempe,54,23.5,0,14.1,21.8,27,42.6,18.1,2006
100,University of Roma - La Sapienza,1,23.5,16,15.5,10.9,19.4,53.3,14.8,2006
99,Ecole Normale Superieure - Paris,4,23.6,46.1,24.5,13.3,14.8,27.3,24.1,2006
99,Tokyo Institute of Technology,6,23.8,15.6,0,22.2,23.9,46.9,30.4,2007
99,University of Bonn,6,23.8,18.6,20,14.8,16.9,42.6,24.2,2007
99,University of Strasbourg,4,23.8,27.6,22.5,16.6,18.5,32.8,22.9,2007
100,Emory University,55,23.8,0,0,31.6,22.2,50.4,24,2009
100,Tufts University,53,23.9,18.8,17.1,20.8,19.1,37.4,25.2,2005
97,Lund University,4,23.9,27.6,0,23.4,19.1,50.7,18,2007
97,University of Iowa,54,23.9,0,0,34,22.2,49.6,21.1,2007
99,Rice University,54,23.9,18.9,21.9,21.8,18,30.7,29.5,2009
100,Texas A&M University,51,23.9,0,0,34.3,22.7,49.5,20.9,2015
98,Nagoya University,6,24,0,14.1,15.4,21.6,52.9,25.8,2006
96,Arizona State University - Tempe,53,24,0,14.1,24.6,26.1,42.7,18.2,2007
99,Rice University,54,24,18.5,21.8,21.6,18.8,30.2,29.6,2010
99,University of Birmingham,11,24,21.3,10.9,21.6,16.2,46.4,20.7,2010
100,VU University Amsterdam,4,24,0,0,27.8,17.5,55.3,32.6,2014
99,Michigan State University,50,24,8.9,0,30.7,21.8,50.6,18.9,2015
97,Indiana University Bloomington,53,24.1,13.5,17.9,24.3,18.9,40.7,17.8,2006
94,Nagoya University,5,24.1,0,14.1,18.2,22.3,50,25,2007
94,University of Freiburg,5,24.1,23.5,20.9,16.6,18.9,37.4,23.6,2007
97,Lund University,4,24.1,26.3,0,25.3,18,51.7,18.6,2008
97,Rice University,54,24.1,19.4,21.9,21.9,19.7,29.5,29.3,2008
97,University of Bonn,6,24.1,17.7,20,14.6,20.2,41.3,24.7,2008
97,University of Sydney,3,24.1,17.7,0,20.6,16.4,58,26.8,2008
98,University of Bonn,5,24.1,17.3,20,14.5,20.9,41.1,24.7,2009
99,Georgia Institute of Technology,52,24.1,12.9,0,31,22.2,43.9,28,2014
96,University of Strasbourg,3,24.2,28.4,22.5,18.8,16.7,33.6,23.6,2006
96,University of Freiburg,5,24.2,22.4,20.9,16.3,19.2,38,24.2,2008
97,Aarhus University,2,24.2,13.4,18.9,7.3,24,47.6,26.6,2009
98,Aarhus University,2,24.2,13.1,18.9,7.2,23.5,48.4,25.4,2010
100,Texas A&M University - College Station,53,24.2,0,0,33.9,19.9,53.8,19.8,2011
100,University of Frankfurt,6,24.2,34.8,8.9,19.1,19.7,39.8,25.4,2011
96,KU Leuven,2,24.2,0,0,29.5,19.1,54.9,29.1,2014
96,Swiss Federal Institute of Technology Lausanne,5,24.2,0,0,26.1,29.5,43.3,38.6,2014
96,Texas A & M University,51,24.2,0,0,34.3,23.2,50.2,20.8,2014
98,VU University Amsterdam,4,24.2,0,0,27.8,18,55.5,33.3,2015
99,Lund University,4,24.3,29.4,0,24.8,19.4,50.1,18.1,2005
95,University of Iowa,52,24.3,0,0,33.5,22.4,51.6,21.8,2006
93,University of Utah,52,24.3,0,0,30.6,27.6,47.5,25,2007
